neural_network.py 

k = 50
lr = 0.005
num_epoch = 50

Epoch: 27 	Training Cost: 7722.869629	 Valid Acc: 0.6892464013547841
Epoch: 28 	Training Cost: 7675.772949	 Valid Acc: 0.6895286480383855
Epoch: 29 	Training Cost: 7628.995605	 Valid Acc: 0.6906576347727914
Epoch: 30 	Training Cost: 7582.536621	 Valid Acc: 0.6905165114309907
Epoch: 31 	Training Cost: 7536.393555	 Valid Acc: 0.6907987581145921
Epoch: 32 	Training Cost: 7490.565430	 Valid Acc: 0.6906576347727914
Epoch: 33 	Training Cost: 7445.050781	 Valid Acc: 0.6905165114309907
Epoch: 34 	Training Cost: 7399.848633	 Valid Acc: 0.6906576347727914
Epoch: 35 	Training Cost: 7354.956543	 Valid Acc: 0.6902342647473892
Epoch: 36 	Training Cost: 7310.374023	 Valid Acc: 0.6907987581145921
Epoch: 37 	Training Cost: 7266.099609	 Valid Acc: 0.6907987581145921
Epoch: 38 	Training Cost: 7222.132324	 Valid Acc: 0.6902342647473892
Epoch: 39 	Training Cost: 7178.469727	 Valid Acc: 0.6906576347727914
Epoch: 40 	Training Cost: 7135.112305	 Valid Acc: 0.6909398814563928
Epoch: 41 	Training Cost: 7092.058105	 Valid Acc: 0.6907987581145921
Epoch: 42 	Training Cost: 7049.307617	 Valid Acc: 0.6910810047981937
Epoch: 43 	Training Cost: 7006.858398	 Valid Acc: 0.6909398814563928
Epoch: 44 	Training Cost: 6964.710938	 Valid Acc: 0.6909398814563928
Epoch: 45 	Training Cost: 6922.863281	 Valid Acc: 0.6907987581145921
Epoch: 46 	Training Cost: 6881.315430	 Valid Acc: 0.6912221281399944
Epoch: 47 	Training Cost: 6840.065918	 Valid Acc: 0.6907987581145921
Epoch: 48 	Training Cost: 6799.113770	 Valid Acc: 0.6910810047981937
Epoch: 49 	Training Cost: 6758.457520	 Valid Acc: 0.6906576347727914
Lambda: 0.001 	Validation Acc: 0.690658	Test Acc: 0.687271
----------------------------------------------------------------------
Epoch: 0 	Training Cost: 6732.358887	 Valid Acc: 0.6907987581145921
Epoch: 1 	Training Cost: 6692.464355	 Valid Acc: 0.6906576347727914
Epoch: 2 	Training Cost: 6652.861816	 Valid Acc: 0.6896697713801863
Epoch: 3 	Training Cost: 6613.549805	 Valid Acc: 0.6895286480383855
Epoch: 4 	Training Cost: 6574.525879	 Valid Acc: 0.6899520180637877
Epoch: 5 	Training Cost: 6535.788574	 Valid Acc: 0.6900931414055885
Epoch: 6 	Training Cost: 6497.336914	 Valid Acc: 0.6899520180637877
Epoch: 7 	Training Cost: 6459.167969	 Valid Acc: 0.6891052780129834
Epoch: 8 	Training Cost: 6421.279785	 Valid Acc: 0.6891052780129834
Epoch: 9 	Training Cost: 6383.671387	 Valid Acc: 0.6892464013547841
Epoch: 10 	Training Cost: 6346.339355	 Valid Acc: 0.6883996613039797
Epoch: 11 	Training Cost: 6309.283691	 Valid Acc: 0.6881174146203782
Epoch: 12 	Training Cost: 6272.501465	 Valid Acc: 0.6883996613039797
Epoch: 13 	Training Cost: 6235.990723	 Valid Acc: 0.6883996613039797
Epoch: 14 	Training Cost: 6199.749512	 Valid Acc: 0.6885407846457804
Epoch: 15 	Training Cost: 6163.775879	 Valid Acc: 0.6881174146203782
Epoch: 16 	Training Cost: 6128.068359	 Valid Acc: 0.6874117979113745
Epoch: 17 	Training Cost: 6092.624512	 Valid Acc: 0.687694044594976
Epoch: 18 	Training Cost: 6057.442871	 Valid Acc: 0.6878351679367768
Epoch: 19 	Training Cost: 6022.520508	 Valid Acc: 0.6881174146203782
Epoch: 20 	Training Cost: 5987.856934	 Valid Acc: 0.6875529212531752
Epoch: 21 	Training Cost: 5953.448242	 Valid Acc: 0.6883996613039797
Epoch: 22 	Training Cost: 5919.293945	 Valid Acc: 0.687694044594976
Epoch: 23 	Training Cost: 5885.392090	 Valid Acc: 0.6879762912785775
Epoch: 24 	Training Cost: 5851.739746	 Valid Acc: 0.6874117979113745
