neural_network.py 

k = 50
lr = 0.0025
num_epoch = 40
==========================WITHOUT REGULARIZER=========================
Epoch: 0 	Training Cost: 14249.303711	 Valid Acc: 0.543465989274626
Epoch: 1 	Training Cost: 13781.258789	 Valid Acc: 0.5738075077617838
Epoch: 2 	Training Cost: 13403.119141	 Valid Acc: 0.5952582557154953
Epoch: 3 	Training Cost: 13079.539062	 Valid Acc: 0.6088060965283658
Epoch: 4 	Training Cost: 12818.278320	 Valid Acc: 0.6160033869602032
Epoch: 5 	Training Cost: 12621.210938	 Valid Acc: 0.6186847304544172
Epoch: 6 	Training Cost: 12478.061523	 Valid Acc: 0.6222128139994355
Epoch: 7 	Training Cost: 12374.550781	 Valid Acc: 0.6220716906576348
Epoch: 8 	Training Cost: 12298.086914	 Valid Acc: 0.6209427039232289
Epoch: 9 	Training Cost: 12239.338867	 Valid Acc: 0.6243296641264465
Epoch: 10 	Training Cost: 12191.920898	 Valid Acc: 0.6254586508608524
Epoch: 11 	Training Cost: 12151.627930	 Valid Acc: 0.6263053909116568
Epoch: 12 	Training Cost: 12115.744141	 Valid Acc: 0.6261642675698561
Epoch: 13 	Training Cost: 12082.536133	 Valid Acc: 0.6255997742026531
Epoch: 14 	Training Cost: 12050.903320	 Valid Acc: 0.6257408975444538
Epoch: 15 	Training Cost: 12020.147461	 Valid Acc: 0.6264465142534575
Epoch: 16 	Training Cost: 11989.829102	 Valid Acc: 0.627293254304262
Epoch: 17 	Training Cost: 11959.666992	 Valid Acc: 0.6278577476714648
Epoch: 18 	Training Cost: 11929.478516	 Valid Acc: 0.628281117696867
Epoch: 19 	Training Cost: 11899.143555	 Valid Acc: 0.6295512277730737
Epoch: 20 	Training Cost: 11868.580078	 Valid Acc: 0.6302568444820773
Epoch: 21 	Training Cost: 11837.730469	 Valid Acc: 0.630397967823878
Epoch: 22 	Training Cost: 11806.552734	 Valid Acc: 0.630962461191081
Epoch: 23 	Training Cost: 11775.019531	 Valid Acc: 0.6319503245836862
Epoch: 24 	Training Cost: 11743.105469	 Valid Acc: 0.633079311318092
Epoch: 25 	Training Cost: 11710.796875	 Valid Acc: 0.6335026813434942
Epoch: 26 	Training Cost: 11678.082031	 Valid Acc: 0.6344905447360993
Epoch: 27 	Training Cost: 11644.956055	 Valid Acc: 0.6349139147615016
Epoch: 28 	Training Cost: 11611.418945	 Valid Acc: 0.6353372847869038
Epoch: 29 	Training Cost: 11577.472656	 Valid Acc: 0.6359017781541066
Epoch: 30 	Training Cost: 11543.125977	 Valid Acc: 0.6361840248377082
Epoch: 31 	Training Cost: 11508.389648	 Valid Acc: 0.6361840248377082
Epoch: 32 	Training Cost: 11473.277344	 Valid Acc: 0.6368896415467118
Epoch: 33 	Training Cost: 11437.807617	 Valid Acc: 0.6387242449901214
Epoch: 34 	Training Cost: 11402.000977	 Valid Acc: 0.6406999717753317
